phase,level,score,scaffolding,Task_Identification,Resource_Specificity,Goal_Clarity,Goal_Orientation,Visualization,Specific_Goal,Action_Plan,Timeline,If_Then_Structure,Response_Specificity,Feasibility,Monitoring_Strategy,Adaptation_Triggers,Alternative_Strategies,expected_scaffolding,expected_scaffolding_by_level,scaffolding_match,scaffolding_level_match
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,low,1.0,high,1.0,1.0,,,,,,,,,,,,,high,high,True,True
phase2_learning_objectives,medium,1.5,high,2.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.2,high,1.0,1.4,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.0,high,1.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.0,high,1.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.0,high,1.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.0,high,1.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.2,high,1.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,medium,1.5,high,2.0,1.0,,,,,,,,,,,,,high,medium,True,False
phase2_learning_objectives,high,2.5,low,3.0,2.0,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.5,low,3.0,2.0,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.5,low,3.0,2.0,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.8,low,3.0,3.0,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.5,low,3.0,2.0,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.0,medium,3.0,1.0,,,,,,,,,,,,,medium,low,True,False
phase2_learning_objectives,high,2.7,low,3.0,2.4,,,,,,,,,,,,,low,low,True,True
phase2_learning_objectives,high,2.5,low,3.0,2.0,,,,,,,,,,,,,low,low,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,low,1.0,high,,,1.0,1.0,1.0,,,,,,,,,,high,high,True,True
phase4_long_term_goals,medium,1.3,high,,,1.0,2.0,1.0,,,,,,,,,,high,medium,True,False
phase4_long_term_goals,medium,2.0,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,1.9,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,1.9,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,2.0,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,1.9,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,1.9,medium,,,2.0,3.0,1.0,,,,,,,,,,medium,medium,True,True
phase4_long_term_goals,medium,2.3,low,,,2.0,3.0,3.0,,,,,,,,,,low,medium,True,False
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,2.7,low,,,3.0,3.0,2.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,2.7,low,,,3.0,3.0,2.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_long_term_goals,high,3.0,low,,,3.0,3.0,3.0,,,,,,,,,,low,low,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,low,1.0,high,,,,,,1.0,1.0,1.0,,,,,,,high,high,True,True
phase4_short_term_goals,medium,1.67,medium,,,,,,2.0,1.0,2.0,,,,,,,medium,medium,True,True
phase4_short_term_goals,medium,2.0,medium,,,,,,2.0,1.0,3.0,,,,,,,medium,medium,True,True
phase4_short_term_goals,medium,2.0,medium,,,,,,2.0,1.0,3.0,,,,,,,medium,medium,True,True
phase4_short_term_goals,medium,2.3,low,,,,,,2.0,2.0,3.0,,,,,,,low,medium,True,False
phase4_short_term_goals,medium,1.3,high,,,,,,1.0,1.0,2.0,,,,,,,high,medium,True,False
phase4_short_term_goals,medium,2.3,low,,,,,,2.0,2.0,3.0,,,,,,,low,medium,True,False
phase4_short_term_goals,medium,1.67,medium,,,,,,2.0,1.0,2.0,,,,,,,medium,medium,True,True
phase4_short_term_goals,medium,2.0,medium,,,,,,2.0,1.0,3.0,,,,,,,medium,medium,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,2.8,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_short_term_goals,high,3.0,low,,,,,,3.0,3.0,3.0,,,,,,,low,low,True,True
phase4_contingency_strategies,low,1.3,high,,,,,,,,,1.0,1.0,2.0,,,,high,high,True,True
